品牌,名称,排放标准,排量,变速箱类型,新车含税价
本田,本田 CR-V 2019款 2.0 自动 锐·混动净驰版前驱 国VI,国6,2.0L,无级,26.32万
本田,本田 思域 2019款 1.5T 自动 220TURBO劲动版 国VI,国6,1.5L,无极,15.23万
本田,本田 艾力绅 2019款 2.0 自动 豪华版 混动,国6,2.0L,无级,33.72万
本田,本田 CR-V 2021款 2.0 自动 净速版前驱 锐·混动,国6,2.0L,无级,24.14万
日产,日产 天籁 2020款 2.0 自动 XL Upper智行版 改款,国6,2.0L,无极,21.75万
日产,日产 LANNIA 蓝鸟 2019款 1.6 自动 智联智酷版 国VI,国6,1.6L,无极,14.36万
日产,日产 轩逸 2020款 1.6 自动 XL智享版 改款,国6,1.6L,无极,14.57万
日产,日产 轩逸 2020款 1.6 自动 XL悦享版,国6,1.6L,无极,14.14万
日产,日产 逍客 2019款 2.0 自动 豪华版,国6,2.0L,无极,18.37万
日产,日产 轩逸 2021款 1.6 自动 XL经典豪华版,国6,1.6L,无极,12.91万
日产,日产 轩逸 2020款 1.6 自动 XL悦享版,国6,1.6L,无极,14.14万
日产,日产 LANNIA 蓝鸟 2019款 1.6 自动 智联智酷版 国VI,国6,1.6L,无极,14.36万
日产,日产 天籁 2020款 2.0 自动 XL舒适版 改款,国6,2.0L,无极,20.44万
日产,日产 轩逸 2019款 1.6 自动 经典XE舒适版,国6,1.6L,无极,11.82万
日产,日产 轩逸 2021款 1.6 自动 XE经典舒适版,国6,1.6L,无极,11.82万
本田,本田 皓影 2020款 1.5T 自动 尊贵版前驱,国6,1.5L,无极,22.51万
本田,本田 凌派 2019款 1.0T 自动 180Turbo舒适版 国VI,国6,1.0L,无极,11.95万
本田,本田 凌派 2020款 1.5 自动 锐·旗舰版 混动,国6,1.5L,无级,18.48万
本田,本田 缤智 2020款 1.5 自动 先锋版,国6,1.5L,无极,15.11万
本田,本田 冠道 2020款 1.5T 自动 240TURBO智享版前驱,国6,1.5L,无极,27.84万
本田,本田 雅阁 2018款 1.5T 自动 260TURBO精英版,国5,1.5L,无极,20.66万
本田,本田 凌派 2019款 1.0T 手动 180Turbo舒适版 国VI,国6,1.0L,手动,10.86万
Jeep,Jeep 指挥官 2018款 2.0T 自动 进享版前驱 国VI,国6,2.0L,自动,29.37万
丰田,丰田 致炫 2020款 1.5 自动 致炫X豪华版,国6,1.5L,无极,10.21万
丰田,丰田 致炫 2020款 1.5 自动 致炫X豪华版,国6,1.5L,无极,10.21万
丰田,丰田 雷凌 2021款 1.2T 自动 185T豪华版,国6,1.2L,无极,14.13万
丰田,丰田 凯美瑞 2019款 2.5 自动 HG豪华版 混动 国V,国6,2.5L,无级,26.10万
丰田,丰田 威兰达 2020款 2.5 自动 双擎豪华版四驱 混动,国6,2.5L,无级,26.21万
宝马,宝马 X1 2020款 1.5T 自动 20Li时尚型前驱,国6,1.5L,双离合,30.35万
宝马,宝马 X1 2020款 1.5T 自动 20Li时尚型前驱,国6,1.5L,双离合,30.35万
宝马,宝马 3系 2020款 2.0T 自动 320Li M运动套装,国6,2.0L,自动,34.71万
宝马,宝马 1系 2020款 1.5T 自动 120i M运动套装,国6,1.5L,双离合,24.36万
宝马,宝马 1系 2020款 1.5T 自动 120i时尚型,国6,1.5L,双离合,21.64万
宝马,宝马 1系 2020款 1.5T 自动 120i时尚型,国6,1.5L,双离合,21.64万
宝马,宝马 5系 2020款 2.0T 自动 525Li M运动套装,国6,2.0L,自动,46.47万
宝马,宝马 5系 2020款 2.0T 自动 530Li尊享型豪华套装,国6,2.0L,自动,55.18万
宝马,宝马 1系 2021款 1.5T 自动 120i M运动版,国6,1.5L,双离合,22.18万
宝马,宝马 X1 2020款 1.5T 自动 20Li时尚型前驱,国6,1.5L,双离合,30.35万
宝马,宝马 X3 2020款 2.0T 自动 30i领先型 M运动套装四驱,国6,2.0L,自动,52.23万
宝马,宝马 X1 2020款 1.5T 自动 20Li时尚型前驱,国6,1.5L,双离合,30.35万
宝马,宝马 1系 2021款 1.5T 自动 120i M运动版,国6,1.5L,双离合,22.18万
宝马,宝马 3系 2020款 2.0T 自动 320Li M运动套装,国6,2.0L,自动,34.71万
宝马,宝马 X1 2020款 1.5T 自动 20Li时尚型前驱,国6,1.5L,双离合,30.35万
宝马,宝马 1系 2020款 1.5T 自动 120i M运动套装,国6,1.5L,双离合,24.36万
大众,大众 途昂 2020款 2.0T 自动 380TSI豪华版四驱 国VI,国6,2.0L,双离合,39.17万
大众,大众 途观L 2019款 2.0T 自动 330TSI全景舒适版前驱 改款 国VI,国6,2.0L,双离合,26.21万
大众,大众 朗逸三厢 2019款 1.5 自动 启航风尚版 国VI,国6,1.5L,自动,12.18万
大众,大众 途观L 2019款 1.4T 自动 280TSI全景舒适版前驱 改款 国VI,国6,1.4L,双离合,24.14万
大众,大众 朗逸三厢 2019款 1.4T 自动 280TSI舒适版 国VI,国6,1.4L,双离合,15.99万
大众,大众 桑塔纳 2019款 1.5 手动 风尚版 国VI,国6,1.5L,手动,9.46万
大众,大众 桑塔纳 2019款 1.5 自动 风尚版  国VI,国6,1.5L,自动,10.66万
大众,大众 途观L 2019款 2.0T 自动 330TSI智动豪华版前驱 改款 国VI,国6,2.0L,双离合,27.63万
大众,大众 帕萨特 2020款 1.4T 自动 280TSI商务版 改款,国6,1.4L,双离合,20.24万
大众,大众 途岳 2020款 1.4T 自动 280TSI舒适版前驱 国VI,国6,1.4L,双离合,19.90万
大众,大众 途昂 2020款 2.0T 自动 380TSI豪华版四驱 国VI,国6,2.0L,双离合,39.17万
大众,大众 途昂 2020款 2.0T 自动 380TSI豪华版四驱 国VI,国6,2.0L,双离合,39.17万
大众,大众 途昂 2020款 2.0T 自动 380TSI豪华版四驱 国VI,国6,2.0L,双离合,39.17万
大众,大众 朗逸三厢 2019款 1.5 自动 启航舒适版 国VI,国6,1.5L,自动,13.38万
大众,大众 途昂 2019款 2.0T 自动 380TSI豪华版四驱 国VI,国6,2.0L,双离合,39.17万
大众,大众 朗逸三厢 2021款 1.5 自动 舒适版,国6,1.5L,自动,15.23万
大众,大众 朗逸两厢 2019款 1.2T 自动 280TSI舒适版 国VI,国6,1.2L,双离合,15.55万
大众,大众 朗逸三厢 2019款 1.5 自动 启航风尚版 国VI,国6,1.5L,自动,12.18万
大众,大众 途岳 2020款 1.4T 自动 280TSI R-Line前驱 国VI,国6,1.4L,双离合,20.55万
大众,大众 朗逸三厢 2019款 1.5 自动 启航风尚版 国VI,国6,1.5L,自动,12.18万
大众,大众 朗逸三厢 2018款 1.5 自动 经典风尚版 国VI,国6,1.5L,自动,12.94万
大众,大众 朗逸三厢 2019款 1.5 自动 启航风尚版 国VI,国6,1.5L,自动,12.18万
大众,大众 途岳 2020款 1.4T 自动 280TSI风尚版前驱 国VI,国6,1.4L,双离合,18.05万
大众,大众 朗逸三厢 2019款 1.5 自动 舒适版 国VI,国6,1.5L,自动,15.23万
大众,大众 途观L 2020款 2.0T 自动 330TSI智动豪华版前驱 国VI,国6,2.0L,双离合,27.63万
大众,大众 朗逸三厢 2018款 1.5 自动 经典风尚版 国VI,国6,1.5L,自动,12.94万
大众,大众 朗逸三厢 2019款 1.5 自动 启航舒适版 国VI,国6,1.5L,自动,13.38万
别克,别克 昂科拉GX 2020款 1.3T 自动 20T豪华型前驱,国6,1.3L,无极,18.06万
别克,别克 昂科拉GX 2020款 1.3T 自动 20T旗舰型前驱,国6,1.3L,无极,19.15万
别克,别克 GL8 2018款 2.0T 自动 ES 28T旗舰型 国VI,国6,2.0L,自动,43.53万
别克,别克 英朗三厢 2019款 1.3T 自动 18T互联精英型 国VI,国6,1.3L,自动,14.90万
别克,别克 英朗三厢 2019款 1.3T 自动 18T互联精英型 国VI,国6,1.3L,自动,14.90万
别克,别克 英朗三厢 2019款 1.3T 自动 18T互联精英型 国VI,国6,1.3L,自动,14.90万
别克,别克 英朗三厢 2019款 1.3T 自动 18T互联精英型 国VI,国6,1.3L,自动,14.90万
别克,别克 英朗三厢 2021款 1.5 自动 典范进取型,国6,1.5L,自动,13.05万
别克,别克 GL8 2020款 2.0T 自动 陆上公务舱 652T 尊贵型福祉版,国6,2.0L,自动,35.91万
别克,别克 昂科威 2020款 2.0T 自动 28T精英型四驱,国6,2.0L,自动,26.11万
别克,别克 昂科威 2019款 2.0T 自动 28T精英型四驱 国VI,国6,2.0L,自动,29.38万
别克,别克 英朗三厢 2021款 1.5 自动 典范精英型,国6,1.5L,自动,13.70万
别克,别克 昂科威 2020款 2.0T 自动 28T精英型四驱,国6,2.0L,自动,26.11万
别克,别克 昂科旗 2020款 2.0T 自动 28T尊享旗舰型四驱,国6,2.0L,自动,39.17万
别克,别克 GL8 2020款 2.0T 自动 ES陆尊 653T 尊享型,国6,2.0L,自动,37.00万
别克,别克 君威 2019款 1.5T 自动 20T精英型 国VI,国6,1.5L,自动,20.22万
别克,别克 昂科拉 2020款 1.3T 自动 20T豪华型,国6,1.3L,无极,16.97万
别克,别克 君威 2019款 1.5T 自动 20T精英型 国VI,国6,1.5L,自动,20.22万
别克,别克 威朗三厢 2020款 1.3T 自动 GS 20T豪华型,国6,1.3L,无极,19.36万
别克,别克 GL8 2018款 2.0T 自动 28T尊贵型 国VI,国6,2.0L,自动,29.71万
别克,别克 GL8 2020款 2.0T 自动 ES陆尊 653T 尊享型,国6,2.0L,自动,37.00万
别克,别克 英朗三厢 2021款 1.5 自动 典范进取型,国6,1.5L,自动,13.05万
别克,别克 GL8 2020款 2.0T 自动 Avenir贤礼版6座,国6,2.0L,自动,50.71万
别克,别克 英朗三厢 2019款 1.0T 自动 15T互联精英型 国VI,国6,1.0L,双离合,14.03万
别克,别克 GL8 2018款 2.0T 自动 28T 舒适型 国VI,国6,2.0L,自动,25.35万
别克,别克 英朗三厢 2019款 1.3T 自动 18T互联精英型 国VI,国6,1.3L,自动,14.90万
别克,别克 英朗三厢 2019款 1.3T 自动 18T互联精英型 国VI,国6,1.3L,自动,14.90万
别克,别克 昂科拉 2020款 1.3T 自动 20T豪华型,国6,1.3L,无极,16.97万
别克,别克 GL8 2020款 2.0T 自动 Avenir尊礼版4座,国6,2.0L,自动,57.68万
别克,别克 GL8 2020款 2.0T 自动 ES陆尊 653T 尊享型,国6,2.0L,自动,37.00万
别克,别克 君威 2019款 1.5T 自动 20T豪华型 改款 国VI,国6,1.5L,自动,21.42万
别克,别克 君越 2020款 2.0T 自动 652T豪华型,国6,2.0L,自动,26.10万
别克,别克 GL8 2021款 2.0T 自动 陆上公务舱 652T 智慧豪华型,国6,2.0L,自动,29.38万
别克,别克 君威 2020款 2.0T 自动 GS 28T尊贵型,国6,2.0L,自动,27.19万
别克,别克 昂科拉 2020款 1.3T 自动 20T豪华型,国6,1.3L,无极,16.97万
别克,别克 君威 2020款 2.0T 自动 GS 28T精英型,国6,2.0L,自动,23.82万
别克,别克 GL8 2020款 2.0T 自动 ES陆尊 653T 豪华型,国6,2.0L,自动,41.35万
别克,别克 君威 2019款 1.5T 自动 20T精英型 国VI,国6,1.5L,自动,20.22万
别克,别克 昂科威 2020款 1.5T 自动 20T领先型前驱,国6,1.5L,双离合,20.67万
别克,别克 昂科拉GX 2020款 1.3T 自动 20T豪华型前驱,国6,1.3L,无极,18.06万
别克,别克 GL8 2020款 2.0T 自动 ES陆尊 653T 豪华型,国6,2.0L,自动,41.35万
别克,别克 威朗三厢 2020款 1.0T 自动 15T进取型,国6,1.0L,自动,16.64万
别克,别克 GL8 2018款 2.0T 自动 28T 舒适型 国VI,国6,2.0L,自动,25.35万
别克,别克 君越 2021款 1.5T 自动 552T豪华型,国6,1.5L,自动,23.93万
别克,别克 昂科旗 2020款 2.0T 自动 28T Avenir艾维亚四驱,国6,2.0L,自动,41.35万
别克,别克 GL8 2021款 2.0T 自动 陆上公务舱 652T 豪华型,国6,2.0L,自动,28.28万
别克,别克 君越 2020款 2.0T 自动 652T尊贵型,国6,2.0L,自动,29.37万
别克,别克 昂科威 2020款 1.5T 自动 20T领先型前驱,国6,1.5L,双离合,20.67万
别克,别克 英朗三厢 2021款 1.5 自动 典范进取型,国6,1.5L,自动,13.05万
别克,别克 英朗三厢 2021款 1.5 自动 典范进取型,国6,1.5L,自动,13.05万
别克,别克 英朗三厢 2021款 1.5 自动 典范进取型,国6,1.5L,自动,13.05万
别克,别克 英朗三厢 2021款 1.5 自动 典范进取型,国6,1.5L,自动,13.05万
别克,别克 英朗三厢 2019款 1.0T 自动 15T互联精英型 国VI,国6,1.0L,双离合,14.03万
别克,别克 英朗三厢 2019款 1.0T 自动 15T互联精英型 国VI,国6,1.0L,双离合,14.03万
别克,别克 英朗三厢 2019款 1.0T 自动 15T互联精英型 国VI,国6,1.0L,双离合,14.03万
别克,别克 英朗三厢 2019款 1.0T 自动 15T互联精英型 国VI,国6,1.0L,双离合,14.03万
别克,别克 英朗三厢 2021款 1.5 自动 典范精英型,国6,1.5L,自动,13.70万
别克,别克 英朗三厢 2021款 1.5 自动 典范进取型,国6,1.5L,自动,13.05万
别克,别克 GL8 2020款 2.0T 自动 陆上公务舱 652T 豪华型,国6,2.0L,自动,28.18万
别克,别克 GL8 2020款 2.0T 自动 ES陆尊 653T 豪华型,国6,2.0L,自动,41.35万
别克,别克 GL8 2020款 2.0T 自动 Avenir尊礼版4座,国6,2.0L,自动,57.68万
别克,别克 英朗三厢 2019款 1.0T 自动 15T互联精英型 国VI,国6,1.0L,双离合,14.03万
别克,别克 英朗三厢 2019款 1.0T 自动 15T互联精英型 国VI,国6,1.0L,双离合,14.03万
别克,别克 GL8 2020款 2.0T 自动 Avenir尊礼版4座,国6,2.0L,自动,57.68万
别克,别克 GL8 2020款 2.0T 自动 Avenir尊礼版4座,国6,2.0L,自动,57.68万
别克,别克 威朗三厢 2020款 1.3T 自动 20T领先型,国6,1.3L,无极,17.73万
大众,大众 探影 2020款 1.5 自动 悦,国6,1.5L,自动,15.23万
大众,大众 CC 2020款 2.0T 自动 330TSI魅颜版 国V,国6,2.0L,双离合,28.61万
大众,大众 高尔夫 2020款 1.4T 自动 280TSI舒适型,国6,1.4L,双离合,16.68万
大众,大众 宝来三厢 2019款 1.5 自动 传奇时尚型 国VI,国6,1.5L,自动,11.84万
大众,大众 迈腾 2020款 2.0T 自动 330TSI领先型,国6,2.0L,双离合,23.94万
大众,大众 探岳X 2020款 2.0T 自动 330TSI尊贵智联版前驱,国6,2.0L,双离合,25.67万
大众,大众 速腾 2019款 1.4T 自动 280TSI舒适型 国VI,国6,1.4L,双离合,17.62万
大众,大众 CC 2020款 2.0T 自动 330TSI魅颜版 国VI,国6,2.0L,双离合,28.61万
大众,大众 探岳 2020款 1.4T 自动 280TSI豪华智联版前驱,国6,1.4L,双离合,22.30万
大众,大众 宝来三厢 2020款 1.5 自动 时尚型,国6,1.5L,自动,13.28万
大众,大众 迈腾 2020款 2.0T 自动 330TSI领先型,国6,2.0L,双离合,23.94万
大众,大众 迈腾 2020款 2.0T 自动 330TSI领先型,国6,2.0L,双离合,23.94万
大众,大众 迈腾 2019款 2.0T 自动 330TSI领先型 国VI,国6,2.0L,双离合,23.41万
大众,大众 迈腾 2020款 2.0T 自动 330TSI豪华型,国6,2.0L,双离合,25.46万
大众,大众 宝来三厢 2020款 1.5 自动 舒适型,国6,1.5L,自动,14.69万
大众,大众 宝来三厢 2020款 1.5 自动 舒适型,国6,1.5L,自动,14.69万
奥迪,奥迪 A4L 2020款 2.0T 自动 40TFSI时尚动感型前驱,国6,2.0L,双离合,34.70万
奥迪,奥迪 Q3 2020款 1.4T 自动 35TFSI进取致雅型,国6,1.4L,双离合,29.59万
奥迪,奥迪 A4L 2020款 2.0T 自动 40TFSI时尚动感型前驱,国6,2.0L,双离合,34.70万
奥迪,奥迪 A4L 2020款 2.0T 自动 40TFSI时尚动感型前驱,国6,2.0L,双离合,34.70万
奥迪,奥迪 A6L 2020款 3.0T 自动 55TFSI尊享动感型四驱,国6,3.0L,双离合,59.30万
奥迪,奥迪 A3三厢 2020款 1.4T 自动 35TFSI风尚型 国VI,国6,1.4L,双离合,25.54万
奥迪,奥迪 A4L 2019款 2.0T 自动 40TFSI进取型 国VI,国6,2.0L,双离合,32.74万
奥迪,奥迪 A4L 2020款 2.0T 自动 40TFSI时尚致雅型前驱,国6,2.0L,双离合,34.70万
奥迪,奥迪 A4L 2020款 2.0T 自动 40TFSI时尚动感型前驱,国6,2.0L,双离合,34.70万
奥迪,奥迪 A4L 2020款 2.0T 自动 40TFSI豪华致雅型前驱,国6,2.0L,双离合,37.42万
奥迪,奥迪 A6L 2020款 2.0T 自动 40TFSI豪华动感型,国6,2.0L,双离合,44.61万
奥迪,奥迪 Q5L 2020款 2.0T 自动 45TFSI尊享时尚型,国6,2.0L,双离合,48.46万
奥迪,奥迪 Q5L 2020款 2.0T 自动 40TFSI荣享时尚型,国6,2.0L,双离合,45.26万
奥迪,奥迪 A6L 2020款 2.0T 自动 40TFSI豪华动感型,国6,2.0L,双离合,44.61万
奥迪,奥迪 A4L 2020款 2.0T 自动 40TFSI豪华致雅型前驱,国6,2.0L,双离合,37.42万
奥迪,奥迪 Q5L 2020款 2.0T 自动 45TFSI尊享时尚型,国6,2.0L,双离合,48.46万
奥迪,奥迪 A3两厢 2020款 1.4T 自动 35TFSI时尚型 国VI,国6,1.4L,双离合,23.26万
奥迪,奥迪 A4L 2020款 2.0T 自动 40TFSI豪华致雅型前驱,国6,2.0L,双离合,37.42万
奥迪,奥迪 Q2L 2020款 1.4T 自动 35TFSI进取动感型,国6,1.4L,双离合,23.82万
奥迪,奥迪 A3三厢 2020款 1.4T 自动 35TFSI时尚型 国VI,国6,1.4L,双离合,23.91万
奥迪,奥迪 A4L 2020款 2.0T 自动 40TFSI时尚致雅型前驱,国6,2.0L,双离合,34.70万
奥迪,奥迪 Q3 2020款 2.0T 自动 40TFSI时尚动感型,国6,2.0L,双离合,32.85万
奥迪,奥迪 A6L 2020款 2.0T 自动 45TFSI臻选动感型,国6,2.0L,双离合,47.87万
奥迪,奥迪 A3两厢 2020款 1.4T 自动 35TFSI进取型 国VI,国6,1.4L,双离合,20.59万
奥迪,奥迪 A4L 2019款 2.0T 自动 40TFSI时尚型国VI,国6,2.0L,双离合,36.55万
奥迪,奥迪 Q5L 2020款 2.0T 自动 40TFSI荣享进取型,国6,2.0L,双离合,42.21万
奥迪,奥迪 A3三厢 2020款 1.4T 自动 35TFSI时尚型 国VI,国6,1.4L,双离合,23.91万
奥迪,奥迪 A3三厢 2020款 1.4T 自动 35TFSI时尚型 国VI,国6,1.4L,双离合,23.91万
奥迪,奥迪 A3三厢 2020款 1.4T 自动 35TFSI时尚型 国VI,国6,1.4L,双离合,23.91万
奥迪,奥迪 A4L 2020款 2.0T 自动 35TFSI时尚动感型前驱,国6,2.0L,双离合,33.29万
奥迪,奥迪 A4L 2020款 2.0T 自动 40TFSI时尚致雅型前驱,国6,2.0L,双离合,34.70万
奥迪,奥迪 Q3 2020款 1.4T 自动 35TFSI时尚致雅型,国6,1.4L,双离合,31.22万
奥迪,奥迪 A4L 2020款 2.0T 自动 40TFSI豪华致雅型前驱,国6,2.0L,双离合,37.42万
奥迪,奥迪 A6L 2020款 2.0T 自动 45TFSI臻选致雅型,国6,2.0L,双离合,47.87万
奥迪,奥迪 A4L 2019款 2.0T 自动 40TFSI时尚型国VI,国6,2.0L,双离合,36.55万
奥迪,奥迪 Q3 2020款 1.4T 自动 35TFSI时尚动感型,国6,1.4L,双离合,31.22万
奥迪,奥迪 A4L 2020款 2.0T 自动 40TFSI时尚动感型前驱,国6,2.0L,双离合,34.70万
奥迪,奥迪 Q5L 2020款 2.0T 自动 45TFSI尊享时尚型,国6,2.0L,双离合,48.46万
奥迪,奥迪 A4L 2020款 2.0T 自动 40TFSI时尚致雅型前驱,国6,2.0L,双离合,34.70万
奥迪,奥迪 A4L 2020款 2.0T 自动 40TFSI时尚动感型前驱,国6,2.0L,双离合,34.70万
奥迪,奥迪 A6L 2020款 2.0T 自动 45TFSI臻选动感型,国6,2.0L,双离合,47.87万
奥迪,奥迪 A4L 2020款 2.0T 自动 40TFSI时尚动感型前驱,国6,2.0L,双离合,34.70万
丰田,丰田 卡罗拉 2021款 1.8 自动 精英版 双擎,国6,1.8L,无级,15.65万
丰田,丰田 亚洲龙 2019款 2.0 自动 XLE尊享版,国6,2.0L,无极,24.47万
丰田,丰田 卡罗拉 2019款 1.2T 自动 GL-i精英版,国6,1.2L,无极,13.91万
丰田,丰田 卡罗拉 2021款 1.2T 自动 精英版,国6,1.2L,无极,13.91万
丰田,丰田 普拉多 2019款 3.5 自动 TX-L尊享版后挂备胎,国5,3.5L,自动,54.95万
丰田,丰田 亚洲龙 2019款 2.0 自动 进取版,国6,2.0L,无极,21.75万
丰田,丰田 亚洲龙 2019款 2.5 自动 XLE尊贵版双擎 混动 国VI,国6,2.5L,无级,28.06万
丰田,丰田 卡罗拉 2019款 1.2T 自动 GL-i精英版,国6,1.2L,无极,13.91万
丰田,丰田 卡罗拉 2021款 1.2T 自动 豪华版,国6,1.2L,无极,14.78万
马自达,马自达 马6阿特兹 2020款 2.0 自动 蓝天豪华版,国6,2.0L,自动,20.66万
马自达,马自达 马6阿特兹 2020款 2.0 自动 蓝天豪华版,国6,2.0L,自动,20.66万
马自达,马自达 马6阿特兹 2020款 2.0 自动 蓝天豪华版,国6,2.0L,自动,20.66万
马自达,马自达 马6阿特兹 2020款 2.5 自动 蓝天运动版,国6,2.5L,自动,21.75万
马自达,马自达 马6阿特兹 2020款 2.0 自动 蓝天豪华版,国6,2.0L,自动,20.66万
马自达,马自达 马自达CX-4 2021款 2.0 自动 蓝天活力版前驱,国6,2.0L,自动,16.63万
马自达,马自达 马6阿特兹 2020款 2.0 自动 蓝天豪华版,国6,2.0L,自动,20.66万
马自达,马自达 马6阿特兹 2020款 2.5 自动 蓝天尊崇版,国6,2.5L,自动,23.82万
马自达,马自达 马自达CX-4 2021款 2.0 自动 蓝天活力版前驱,国6,2.0L,自动,16.63万
马自达,马自达 马6阿特兹 2020款 2.5 自动 蓝天运动版,国6,2.5L,自动,21.75万
马自达,马自达 马6阿特兹 2020款 2.0 自动 蓝天豪华版,国6,2.0L,自动,20.66万
马自达,马自达 马自达CX-4 2021款 2.0 自动 蓝天活力版前驱,国6,2.0L,自动,16.63万
马自达,马自达 马6阿特兹 2020款 2.5 自动 蓝天尊崇版,国6,2.5L,自动,23.82万
马自达,马自达 马6阿特兹 2020款 2.0 自动 蓝天豪华版,国6,2.0L,自动,20.66万
马自达,马自达 马6阿特兹 2020款 2.0 自动 蓝天时尚版,国6,2.0L,自动,19.14万
马自达,马自达 马6阿特兹 2020款 2.0 自动 蓝天豪华版,国6,2.0L,自动,20.66万
马自达,马自达 马6阿特兹 2020款 2.0 自动 蓝天豪华版,国6,2.0L,自动,20.66万
马自达,马自达 马6阿特兹 2020款 2.5 自动 蓝天尊崇版,国6,2.5L,自动,23.82万
马自达,马自达 CX-5 2020款 2.0 自动 智尊型前驱,国6,2.0L,自动,21.75万
长安,长安 CS75 PLUS 2020款 1.5T 自动 精英型,国6,1.5L,自动,12.51万
长安,长安 CS55 PLUS 2021款 1.5T 自动 蓝鲸版豪华型,国6,1.5L,双离合,11.64万
长安,长安 逸动 2020款 1.4T 自动 PLUS蓝鲸NE旗舰型,国6,1.4L,双离合,11.31万
长安,长安 CS75 2020款 1.5T 自动 280T豪华型 国VI,国6,1.5L,双离合,12.40万
长安,长安 CS75 2020款 1.5T 自动 280T豪华型 国VI,国6,1.5L,双离合,12.40万
长安,长安 CS75 2020款 1.5T 自动 280T豪华型 国VI,国6,1.5L,双离合,12.40万
长安,长安 CS75 PLUS 2020款 1.5T 自动 尊贵型,国6,1.5L,自动,14.36万
长安,长安 逸动DT 2019款 1.6 自动 智享型 国VI,国6,1.6L,自动,8.04万
长安,长安 CS15 2019款 1.5 手动 悦享型 国VI,国6,1.5L,手动,7.17万
长安,长安 CS75 2020款 1.5T 自动 280T尊贵型 国VI,国6,1.5L,双离合,13.05万
长安,长安 CS75 2020款 1.5T 自动 280T尊贵型 国VI,国6,1.5L,双离合,13.05万
